中国香港	港元		HKD	
中国澳门	澳门元			MOP
中国	人民币元		CNY 
朝鲜 	圆 		KPW 	
越南 	越南盾 	VND 	
日本 	日圆 		JPY 
老挝 	基普 	LAK 	
柬埔寨 	瑞尔 		KHR 	
菲律宾 	菲律宾比索 		PHP 	
马来西亚 	马元 	MYR	
新加坡 	新加坡元 	SGD 	
泰国 	泰铢 	THP 	
缅甸	缅元 	BUK 	
斯里兰卡 	斯里兰卡卢比 		LKR 	
马尔代夫 	马尔代夫卢比 		MVR	
印度尼西亚 	盾 IDR 	
巴基斯坦	巴基斯坦卢比		PRK 	
印度	卢比	INR	
尼泊尔 	尼泊尔卢比		NPR	
阿富汗	阿富汗尼		AFA		
伊朗 	伊朗里亚尔		IRR	
伊拉克	伊拉克第纳尔 		IQD	
叙利亚 	叙利亚镑 		SYP	
黎巴嫩	黎巴嫩镑	LBP	
约旦	约旦第纳尔		JOD	
沙特阿拉伯	亚尔 		SAR	
科威特	科威特第纳尔 		KWD	
巴林 	巴林第纳尔 		BHD	
卡塔尔	卡塔尔里亚尔		QR.	QAR	
阿曼	阿曼里亚尔		OMR		
阿拉伯也门	也门里亚尔		YER	
民主也门	也门第纳尔		YDD	
土耳其	土耳其镑		TRL	
塞浦路斯	塞浦路斯镑		CYP	
								
澳大利亚	澳大利亚元 		AUD
新西兰	新西兰元		NZD	
斐济	斐济元		FJD 		
所罗门群岛	所罗门元	SBD 	
		
欧洲货币联盟	欧元	EUR	
冰岛	冰岛克朗		ISK	
丹麦	丹麦克朗		DKK	
挪威	挪威克朗		NOK	
瑞典	瑞典克朗		SEK	
芬兰	芬兰马克	FIM	
俄罗斯	卢布		SUR	
波兰	兹罗提		PLZ		
捷克和斯洛伐克	捷克克朗	CSK	
匈牙利	福林	HUF	
德国	马克		DEM	
奥地利	奥地利先令		ATS	
瑞士	瑞士法郎		CHF	
荷兰	荷兰盾		NLG	
比利时	比利时法郎	BEF	
卢森堡	卢森堡法郎		LUF	
英国	英镑		GBP		
爱尔兰	爱尔兰镑		IEP		
法国	法郎		FRF	
西班牙	比塞塔		ESP	
葡萄牙	埃斯库多		PTE
意大利	里拉	ITL	
马耳他	马耳他镑		MTP		
南斯拉夫	南斯拉夫新第纳尔		YUD		
罗马尼亚	列伊		ROL	
保加利亚	列弗		BGL	
阿尔巴尼亚	列克		ALL	
希腊	德拉马克		GRD	
								
加拿大	加元	CAD		
美国	美元		USD	
墨西哥	墨西哥比索		MXP	
危地马拉	格查尔		GTQ	
萨尔瓦多	萨尔瓦多科朗		SVC	
洪都拉斯	伦皮拉	HNL	
尼加拉瓜	科多巴		NIC	
哥斯达黎加	哥斯达黎加科朗		CRC	
巴拿马	巴拿马巴波亚		PAB	
古巴	古巴比索		CUP	
巴哈马联邦	巴哈马元		BSD		
牙买加	牙买加元		JMD	
海地	古德		HTG	
多米尼加	多米尼加比索		DOP	
特立尼达和多巴哥	特立尼达多巴哥元		TTD	
巴巴多斯	巴巴多斯元		BBD	
哥伦比亚	哥伦比亚比索		COP	
委内瑞拉	博利瓦		VEB	
圭亚那	圭亚那元		GYD		
苏里南	苏里南盾		SRG	
秘鲁	新索尔		PES	
厄瓜多尔	苏克雷		ECS	
巴西	新克鲁赛罗		BRC	
玻利维亚	玻利维亚比索		BOP	
智利	智利比索	CLP	
阿根廷	阿根廷比索		ARP	
巴拉圭	巴拉圭瓜拉尼		PYG	
乌拉圭	乌拉圭新比索		UYP	
								
埃及	埃及镑		EGP			
利比亚	利比亚第纳尔		LYD	
苏丹	苏丹镑		SDP	
突尼斯	突尼斯第纳尔		TND	
阿尔及利亚	阿尔及利亚第纳尔	DZD	
摩洛哥	摩洛哥迪拉姆		MAD	
毛里塔尼亚	乌吉亚		MRO	
塞内加尔	非共体法郎		XOF	
上沃尔特	非共体法郎		XOF	
科特迪瓦	非共体法郎		XOF	
多哥	    非共体法郎		XOF	
贝宁	    非共体法郎	    XOF
尼泊尔	    非共体法郎		XOF	
冈比亚	法拉西		GMD		
几内亚比绍	几内亚比索		GWP	
几内亚	几内亚西里		GNS		
塞拉里昂	利昂		SLL		
利比里亚	利比里亚元		LRD	
加纳	塞地		GHC
尼日利亚	奈拉		NGN		
喀麦隆	中非金融合作法郎	XAF	
乍得	中非金融合作法郎	XAF
刚果	中非金融合作法郎	XAF	
加蓬	中非金融合作法郎	XAF	
中非	中非金融合作法郎	XAF	
赤道几内亚	赤道几内亚埃奎勒		GQE	
南非	兰特		ZAR	
吉布提	吉布提法郎		DJF	
索马里	索马里先令		SOS		
肯尼亚	肯尼亚先令		KES		
乌干达	乌干达先令		UGS		
坦桑尼亚	坦桑尼亚先令		TZS	
卢旺达	卢旺达法郎		RWF		
布隆迪	布隆迪法郎		BIF		
扎伊尔	扎伊尔		ZRZ		
赞比亚	赞比亚克瓦查		ZMK		
马达加斯加	马达加斯加法郎		MCF		
塞舌尔	塞舌尔卢比	SCR	
毛里求斯	毛里求斯卢比		MUR	
津巴布韦	津巴布韦元		ZWD	
科摩罗	科摩罗法郎		KMF		
